epoch,phase,accuracy,loss
1,validation,0.500457763671875,4.892120094620623
2,validation,0.500457763671875,7.658464602078311
3,validation,0.500457763671875,9.324451476801187
4,validation,0.6268310546875,0.619912692825892
5,validation,0.75115966796875,0.5602037594217109
6,validation,0.740386962890625,0.5726131824339973
7,validation,0.521514892578125,0.68413259582303
8,validation,0.781158447265625,0.5572747339756461
9,validation,0.71942138671875,0.5686582021735376
10,validation,0.762420654296875,0.5666038588969968
11,validation,0.7559814453125,0.5600827195448801
12,validation,0.748138427734375,0.5646423930593301
13,validation,0.751678466796875,0.5635370025702287
14,validation,0.74517822265625,0.5629847184027312
15,validation,0.749267578125,0.5635457548050908
16,validation,0.75164794921875,0.564055375449243
17,validation,0.748291015625,0.5643884370074375
18,validation,0.74847412109375,0.5634490858356003
19,validation,0.756500244140625,0.5612757896160474
20,validation,0.75732421875,0.5598828664951725
21,validation,0.75103759765625,0.5623642881837441
22,validation,0.749298095703125,0.5630670144164469
23,validation,0.7515869140625,0.5627706773229875
24,validation,0.752105712890625,0.5622557181632146
1,training,0.508636474609375,7.984936636950806
2,training,0.5058517456054688,8.01731242920141
3,training,0.509368896484375,7.937967392652354
4,training,0.6722602844238281,0.8267963894140848
5,training,0.6800422668457031,0.8028854518415756
6,training,0.677398681640625,0.8036219208570401
7,training,0.6783409118652344,0.8062148698500096
8,training,0.7599716186523438,0.7528231108135515
9,training,0.7629432678222656,0.7517490595819254
10,training,0.7605781555175781,0.7526749276221381
11,training,0.7614479064941406,0.7526174863342021
12,training,0.7662544250488281,0.7506479328003479
13,training,0.7653617858886719,0.7510347712068324
14,training,0.7665672302246094,0.7502978646989504
15,training,0.7659797668457031,0.7509023547918332
16,training,0.7666015625,0.7509333373218396
17,training,0.7671890258789062,0.7500318299935316
18,training,0.7682037353515625,0.7488865120340051
19,training,0.7679977416992188,0.7496878986021329
20,training,0.7671661376953125,0.7496760223166348
21,training,0.7684402465820312,0.7493178755285044
22,training,0.7676887512207031,0.7492436770753557
23,training,0.7678680419921875,0.7498004708522785
24,training,0.7671241760253906,0.750355567839506
