epoch,phase,accuracy,loss
1,Training,0.18512,0.01768415057897568
2,Training,0.28054,0.015705116679668427
3,Training,0.32244,0.014833363156318665
4,Training,0.34656000000000003,0.01436496439218521
5,Training,0.36292,0.013960466034412384
6,Training,0.37558,0.01373037308216095
7,Training,0.3874,0.013534208509922027
8,Training,0.39420000000000005,0.013412841920852661
9,Training,0.39824000000000004,0.013253398637771606
10,Training,0.40582,0.013161389036178589
11,Training,0.41396000000000005,0.013034262673854827
12,Training,0.41844000000000003,0.012925741603374482
13,Training,0.42284000000000005,0.01285376482963562
14,Training,0.42574,0.012814974541664123
15,Training,0.42736,0.012733548555374145
16,Training,0.42966000000000004,0.012691304664611816
17,Training,0.43476000000000004,0.012585910592079162
18,Training,0.43700000000000006,0.012497039897441864
19,Training,0.43632000000000004,0.012515261044502258
20,Training,0.44018,0.012446723141670227
21,Training,0.44174,0.01242451777935028
22,Training,0.44454000000000005,0.012348239247798919
23,Training,0.44758000000000003,0.012299231219291686
24,Training,0.44774,0.012284946691989899
25,Training,0.44804000000000005,0.012281425235271454
26,Training,0.45272,0.012204771444797516
27,Training,0.45642000000000005,0.012141739544868468
28,Training,0.4549,0.012103808751106263
29,Training,0.45758000000000004,0.012074883515834809
30,Training,0.46156,0.012015902512073517
31,Training,0.45674000000000003,0.012084335300922395
32,Training,0.46244,0.012020110034942627
33,Training,0.46370000000000006,0.011974034242630004
34,Training,0.46276000000000006,0.011962544412612915
35,Training,0.46880000000000005,0.01185965155363083
36,Training,0.46902000000000005,0.011833683204650879
37,Training,0.46870000000000006,0.011840040905475616
38,Training,0.4691,0.011851478581428527
39,Training,0.47422000000000003,0.011789101643562316
40,Training,0.47274000000000005,0.01177107127904892
41,Training,0.4766,0.011695062277317047
42,Training,0.47686000000000006,0.011681423420906067
43,Training,0.47698,0.011674225471019746
44,Training,0.47598,0.011659559202194214
45,Training,0.48044000000000003,0.011638313856124878
46,Training,0.48544000000000004,0.011549737627506256
47,Training,0.48200000000000004,0.011584874634742736
48,Training,0.48438000000000003,0.011558222861289979
49,Training,0.48508000000000007,0.011529912493228912
50,Training,0.48322000000000004,0.011547496521472932
51,Training,0.50622,0.011074567666053772
52,Training,0.5116,0.010902659022808075
53,Training,0.51298,0.010877762501239776
54,Training,0.51786,0.010771812756061554
55,Training,0.5222,0.010729713859558105
56,Training,0.52258,0.010649137201309205
57,Training,0.52188,0.010684912683963776
58,Training,0.52346,0.010634600481987
59,Training,0.5249600000000001,0.010631001555919646
60,Training,0.52922,0.010561920421123505
61,Training,0.5276000000000001,0.010536318619251252
62,Training,0.5321,0.010472865591049194
63,Training,0.53256,0.010468536381721497
64,Training,0.5303,0.01048455423593521
65,Training,0.52934,0.010474712693691254
66,Training,0.53622,0.010386422333717346
67,Training,0.53442,0.01039665088891983
68,Training,0.5397000000000001,0.010345044643878937
69,Training,0.53578,0.010359606757164002
70,Training,0.53876,0.010331635864973068
71,Training,0.53924,0.01032193347454071
72,Training,0.53978,0.010293168070316315
73,Training,0.54188,0.010276899411678314
74,Training,0.5402,0.010263494312763214
75,Training,0.54268,0.010207256590127944
76,Training,0.54522,0.01017827730178833
77,Training,0.5450400000000001,0.010207617285251618
78,Training,0.54674,0.010156100728511811
79,Training,0.5470200000000001,0.010148136949539185
80,Training,0.5443800000000001,0.010145814425945282
81,Training,0.5477000000000001,0.01012486951828003
82,Training,0.5478000000000001,0.010089950878620147
83,Training,0.55218,0.010076608574390411
84,Training,0.5523,0.010043068687915801
85,Training,0.55066,0.0100403311753273
86,Training,0.5529400000000001,0.010045105531215667
87,Training,0.5535,0.009996436613798142
88,Training,0.5550200000000001,0.00998584662437439
89,Training,0.55742,0.009932911864519119
90,Training,0.5553400000000001,0.00997591166496277
91,Training,0.55466,0.009939425801038742
92,Training,0.5561,0.009886083400249481
93,Training,0.55832,0.009904371774196626
94,Training,0.5583,0.009888343708515168
95,Training,0.55776,0.009869319698810577
96,Training,0.5601200000000001,0.009849999297857284
97,Training,0.56086,0.0098191819024086
98,Training,0.56016,0.009856294864416122
99,Training,0.56416,0.009764283406734466
100,Training,0.56462,0.00976635004401207
101,Training,0.57008,0.009655514501333238
102,Training,0.5693600000000001,0.009624186198711394
103,Training,0.5714600000000001,0.009587722690105438
104,Training,0.57072,0.00957715228676796
105,Training,0.57098,0.009597870171070099
106,Training,0.5733600000000001,0.009559650452136994
107,Training,0.57418,0.009560066710710526
108,Training,0.5736600000000001,0.009524117752313615
109,Training,0.57304,0.00951881642460823
110,Training,0.5735800000000001,0.009490154819488525
111,Training,0.5763400000000001,0.009489176564216615
112,Training,0.57532,0.009475162508487702
113,Training,0.57874,0.009424242179393768
114,Training,0.57442,0.009498146831989289
115,Training,0.57754,0.009438133128881454
116,Training,0.5796,0.009448181133270263
117,Training,0.5784600000000001,0.009429098391532898
118,Training,0.5765,0.009464480222463607
119,Training,0.57806,0.00944754999756813
120,Training,0.5787800000000001,0.009412768732309342
121,Training,0.57876,0.009412004903554917
122,Training,0.57998,0.00940652914762497
123,Training,0.57838,0.009445255386829375
124,Training,0.5789200000000001,0.009415802997350693
125,Training,0.58016,0.009401646158695222
126,Training,0.5828800000000001,0.009355818372964859
127,Training,0.58164,0.009383194679021835
128,Training,0.57938,0.009398340880870819
129,Training,0.58126,0.009340091474056244
130,Training,0.5814,0.009360014234781265
131,Training,0.58364,0.009344141249656678
132,Training,0.5853200000000001,0.009340160139799119
133,Training,0.5826600000000001,0.009350874967575072
134,Training,0.5802200000000001,0.00939402879834175
